epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23361.4,0.62009,0.81761,0.80981,0.87281,0.94084,0.95912,0.84459,0.4962,0.53436,0.78918,0.000103968,0.000103968,0.000103968
43,23999.4,0.61565,0.80377,0.80944,0.87687,0.93244,0.95664,0.846,0.4889,0.5342,0.78801,0.000102235,0.000102235,0.000102235
44,24568.5,0.61323,0.7973,0.8102,0.89227,0.92792,0.96072,0.85191,0.48679,0.52269,0.78769,0.000100503,0.000100503,0.000100503
45,25141.6,0.61079,0.78536,0.80892,0.88749,0.93079,0.95922,0.84827,0.49064,0.52348,0.7886,9.877e-05,9.877e-05,9.877e-05
46,25795.3,0.61473,0.78206,0.80934,0.89714,0.94195,0.96402,0.85418,0.49043,0.50633,0.78789,9.70375e-05,9.70375e-05,9.70375e-05
47,26411.3,0.61711,0.77633,0.81006,0.89632,0.93476,0.96468,0.85274,0.49301,0.50669,0.78834,9.5305e-05,9.5305e-05,9.5305e-05
48,26982,0.60261,0.76465,0.80858,0.90394,0.92937,0.9647,0.85199,0.49389,0.50261,0.78856,9.35725e-05,9.35725e-05,9.35725e-05
49,27638.7,0.59949,0.74517,0.80784,0.89896,0.94309,0.96681,0.85511,0.48753,0.49041,0.78807,9.184e-05,9.184e-05,9.184e-05
50,28190.8,0.60016,0.75463,0.80719,0.9059,0.94078,0.96881,0.85957,0.48048,0.48588,0.78727,9.01075e-05,9.01075e-05,9.01075e-05
51,28686,0.60365,0.7489,0.80735,0.9107,0.92257,0.96645,0.85492,0.48811,0.49051,0.78761,8.8375e-05,8.8375e-05,8.8375e-05
52,32020.2,0.59622,0.74201,0.80742,0.89684,0.94564,0.96554,0.85482,0.48095,0.48479,0.78716,8.66425e-05,8.66425e-05,8.66425e-05
53,32498.2,0.5997,0.7372,0.8085,0.91792,0.92303,0.96698,0.85732,0.48427,0.48158,0.78705,8.491e-05,8.491e-05,8.491e-05
54,33079.1,0.59439,0.71779,0.80827,0.90466,0.93955,0.96704,0.85968,0.47805,0.4792,0.78651,8.31775e-05,8.31775e-05,8.31775e-05
55,33618.9,0.59027,0.71859,0.80577,0.90088,0.94911,0.96873,0.86478,0.46959,0.47017,0.78617,8.1445e-05,8.1445e-05,8.1445e-05
56,34165.7,0.59673,0.71154,0.80781,0.90603,0.94402,0.96924,0.85697,0.4892,0.46826,0.78719,7.97125e-05,7.97125e-05,7.97125e-05
57,34728.3,0.58471,0.70806,0.80603,0.9073,0.94895,0.9714,0.86328,0.47619,0.46057,0.78604,7.798e-05,7.798e-05,7.798e-05
58,35457.8,0.58984,0.71163,0.80587,0.9184,0.94448,0.97308,0.86679,0.47106,0.45225,0.78568,7.62475e-05,7.62475e-05,7.62475e-05
59,36184.7,0.58624,0.69948,0.80556,0.90951,0.94645,0.96755,0.86253,0.47352,0.46044,0.78587,7.4515e-05,7.4515e-05,7.4515e-05
60,36907.2,0.58507,0.69981,0.80816,0.91761,0.94133,0.96974,0.86626,0.46487,0.45524,0.7854,7.27825e-05,7.27825e-05,7.27825e-05
61,41482.2,0.58487,0.68758,0.8073,0.91768,0.93869,0.96933,0.86371,0.47154,0.4548,0.78563,7.105e-05,7.105e-05,7.105e-05
62,42206.4,0.57752,0.68217,0.80528,0.92132,0.94213,0.97013,0.86419,0.47326,0.45024,0.78574,6.93175e-05,6.93175e-05,6.93175e-05
63,42727.9,0.57553,0.68022,0.80392,0.9321,0.92893,0.97184,0.86682,0.47504,0.44666,0.78558,6.7585e-05,6.7585e-05,6.7585e-05
64,43361.3,0.57962,0.6754,0.80522,0.91302,0.94744,0.97169,0.86656,0.47246,0.44206,0.78545,6.58525e-05,6.58525e-05,6.58525e-05
65,43959.8,0.57051,0.66069,0.80444,0.91958,0.93959,0.97127,0.8673,0.46861,0.44097,0.78531,6.412e-05,6.412e-05,6.412e-05
66,44575.6,0.56837,0.66061,0.80408,0.91908,0.93896,0.97094,0.86788,0.46848,0.43998,0.78525,6.23875e-05,6.23875e-05,6.23875e-05
67,45221.9,0.57652,0.66529,0.80414,0.92059,0.94961,0.97152,0.86743,0.46853,0.43568,0.78558,6.0655e-05,6.0655e-05,6.0655e-05
68,45841.2,0.57422,0.66544,0.80459,0.91374,0.9507,0.97052,0.86881,0.46269,0.43538,0.78493,5.89225e-05,5.89225e-05,5.89225e-05
69,46468.1,0.56837,0.65816,0.80377,0.91762,0.94825,0.97028,0.86931,0.4632,0.43323,0.78462,5.719e-05,5.719e-05,5.719e-05
70,47084.7,0.57068,0.65635,0.80506,0.91654,0.95449,0.97206,0.87022,0.46352,0.43059,0.78483,5.54575e-05,5.54575e-05,5.54575e-05
71,47710.7,0.56882,0.65323,0.80313,0.91792,0.95448,0.97343,0.87125,0.46344,0.42506,0.78471,5.3725e-05,5.3725e-05,5.3725e-05
72,48339.9,0.56117,0.63969,0.8041,0.90945,0.95744,0.97197,0.87112,0.45985,0.42641,0.78454,5.19925e-05,5.19925e-05,5.19925e-05
73,48987.1,0.56955,0.64398,0.80257,0.91854,0.95242,0.97201,0.87165,0.45994,0.42403,0.78433,5.026e-05,5.026e-05,5.026e-05
74,49665,0.56201,0.63261,0.80265,0.91645,0.95494,0.97209,0.87157,0.456,0.42278,0.78407,4.85275e-05,4.85275e-05,4.85275e-05
75,50379.7,0.56157,0.63941,0.80333,0.92355,0.94264,0.97181,0.86993,0.45751,0.42237,0.78415,4.6795e-05,4.6795e-05,4.6795e-05
76,51036.5,0.56048,0.62691,0.80267,0.9216,0.9472,0.97336,0.87172,0.45845,0.41819,0.78422,4.50625e-05,4.50625e-05,4.50625e-05
77,51752.3,0.56097,0.62416,0.80436,0.91935,0.95222,0.97466,0.8742,0.45663,0.41393,0.78391,4.333e-05,4.333e-05,4.333e-05
78,52448.4,0.56045,0.62743,0.80506,0.9289,0.94115,0.97428,0.87461,0.45528,0.41283,0.78366,4.15975e-05,4.15975e-05,4.15975e-05
79,53113,0.56063,0.62134,0.80243,0.91967,0.9541,0.97466,0.87401,0.45804,0.41058,0.78391,3.9865e-05,3.9865e-05,3.9865e-05
80,53802.8,0.55471,0.62276,0.80381,0.93015,0.94693,0.97576,0.87684,0.45642,0.4074,0.7837,3.81325e-05,3.81325e-05,3.81325e-05
81,54476.6,0.55661,0.62023,0.80275,0.92788,0.94799,0.97528,0.8758,0.45445,0.40688,0.78374,3.64e-05,3.64e-05,3.64e-05
82,55129.6,0.55758,0.61653,0.80421,0.91417,0.95889,0.97404,0.87312,0.45825,0.40915,0.78414,3.46675e-05,3.46675e-05,3.46675e-05
83,55744.8,0.55521,0.60981,0.8025,0.9323,0.94255,0.9744,0.87308,0.4564,0.40809,0.78387,3.2935e-05,3.2935e-05,3.2935e-05
84,56383.1,0.55008,0.60898,0.8009,0.91249,0.95727,0.97258,0.87209,0.45753,0.41132,0.78389,3.12025e-05,3.12025e-05,3.12025e-05
85,56974.7,0.55276,0.60916,0.80228,0.91699,0.96039,0.97453,0.87586,0.45352,0.40525,0.78359,2.947e-05,2.947e-05,2.947e-05
86,57598.7,0.55033,0.6073,0.80145,0.93106,0.95151,0.97531,0.87628,0.45431,0.40276,0.78359,2.77375e-05,2.77375e-05,2.77375e-05
87,58214.9,0.55023,0.59828,0.80148,0.92502,0.96046,0.97555,0.87704,0.45401,0.40242,0.78358,2.6005e-05,2.6005e-05,2.6005e-05
88,58812.7,0.5542,0.60781,0.80111,0.92481,0.96124,0.97609,0.87585,0.45791,0.4005,0.78371,2.42725e-05,2.42725e-05,2.42725e-05
89,59455.7,0.54469,0.5973,0.80062,0.92139,0.96035,0.97456,0.87702,0.45092,0.40158,0.78318,2.254e-05,2.254e-05,2.254e-05
90,60114.7,0.54833,0.59841,0.80247,0.92156,0.9608,0.97435,0.87617,0.45076,0.40141,0.78329,2.08075e-05,2.08075e-05,2.08075e-05
91,60696.9,0.4968,0.4835,0.79194,0.92777,0.95058,0.97478,0.87358,0.46159,0.40479,0.78399,1.9075e-05,1.9075e-05,1.9075e-05
92,61315.7,0.48793,0.47056,0.79171,0.92409,0.96066,0.97446,0.87467,0.45669,0.40341,0.78363,1.73425e-05,1.73425e-05,1.73425e-05
93,61948.8,0.48114,0.47022,0.79242,0.92831,0.95647,0.97475,0.87614,0.45343,0.40122,0.78364,1.561e-05,1.561e-05,1.561e-05
94,62555.9,0.48399,0.47165,0.79116,0.92709,0.95596,0.97491,0.87704,0.45193,0.3993,0.7834,1.38775e-05,1.38775e-05,1.38775e-05
95,63177.4,0.4816,0.46239,0.79065,0.91974,0.96335,0.9752,0.87628,0.45143,0.39784,0.78334,1.2145e-05,1.2145e-05,1.2145e-05
96,63854,0.47912,0.46366,0.79143,0.92314,0.96049,0.97481,0.87688,0.44901,0.39784,0.78312,1.04125e-05,1.04125e-05,1.04125e-05
97,64494.7,0.47759,0.45622,0.79097,0.92593,0.95626,0.97489,0.87696,0.4489,0.39698,0.78323,8.68e-06,8.68e-06,8.68e-06
98,65108.8,0.47773,0.45544,0.79068,0.92856,0.95581,0.97533,0.87765,0.44914,0.39585,0.78318,6.9475e-06,6.9475e-06,6.9475e-06
99,65754.1,0.47753,0.45632,0.79114,0.93231,0.95523,0.9756,0.87845,0.44825,0.39377,0.7832,5.215e-06,5.215e-06,5.215e-06
100,66373.5,0.47249,0.45375,0.79179,0.93369,0.95268,0.97565,0.87886,0.44786,0.39356,0.78313,3.4825e-06,3.4825e-06,3.4825e-06
